"CERT","CHCLASS1","CITYST","COST","FAILDATE","FIN","NAME","QBFASSET","QBFDEP","RESTYPE","RESTYPE1","SAVR"
34292,"NM","WOOD DALE, IL",44183,"03/25/11","10350","THE BANK OF COMMERCE",163074,161379,"FAILURE","PA","DIF"
4077,"N","DAVIS, OK",32366,"03/11/11","10349","THE FIRST NATIONAL BANK OF DAVIS",90183,68331,"FAILURE","PA","DIF"
34818,"SM","MILWAUKEE, WI",75760,"03/11/11","10348","LEGACY BANK",190418,183309,"FAILURE","PA","DIF"
34187,"NM","ST. CHARLES, IL",28270,"02/25/11","10347","VALLEY COMMUNITY BANK",123774,124179,"FAILURE","PA","DIF"
151,"NM","CLARKESVILLE, GA",119380,"02/18/11","10345","HABERSHAM BANK",387681,339934,"FAILURE","PA","DIF"
34601,"NM","SPRINGFIELD, GA",48272,"02/18/11","10344","CITIZENS BANK OF EFFINGHAM",214275,206490,"FAILURE","PA","DIF"
57855,"NM","NAPA, CA",21310,"02/18/11","10343","CHARTER OAK BANK",120833,105309,"FAILURE","PA","DIF"
34783,"SA","SAN LUIS OBISPO, CA",72906,"02/18/11","10346","SAN LUIS TRUST BANK, FSB",332596,272216,"FAILURE","PA","DIF"
35478,"NM","PORT ORANGE, FL",32294,"02/11/11","10342","SUNSHINE STATE COMMUNITY BANK",125531,116715,"FAILURE","PA","DIF"
14939,"NM","HAMTRAMCK, MI",103063,"02/11/11","10341","PEOPLES STATE BANK",390524,389868,"FAILURE","PA","DIF"
13272,"NM","CASSVILLE, WI",19454,"02/11/11","10339","BADGER STATE BANK",83828,78549,"FAILURE","PA","DIF"
34692,"N","PALM SPRINGS, CA",15617,"02/11/11","10340","CANYON NATIONAL BANK",210859,205285,"FAILURE","PA","DIF"
35242,"NM","WATKINSVILLE, GA",48161,"02/04/11","10338","NORTH GEORGIA BANK",153172,139672,"FAILURE","PA","DIF"
57432,"NM","ROSWELL, GA",70463,"02/04/11","10336","AMERICAN TRUST BANK",238205,222161,"FAILURE","PA","DIF"
57948,"SM","CHICAGO, IL",10249,"02/04/11","10337","COMMUNITY FIRST BANK - CHICAGO",51083,49504,"FAILURE","PA","DIF"
2303,"NM","CAMARGO, OK",33590,"01/28/11","10335","THE FIRST STATE BANK",44546,41204,"FAILURE","PA","DIF"
5328,"NM","STOUGHTON, WI",28706,"01/28/11","10332","EVERGREEN STATE BANK",240949,193694,"FAILURE","PA","DIF"
12261,"SM","TAOS, NM",237381,"01/28/11","10333","FIRST COMMUNITY BANK",2188154,1847851,"FAILURE","PA","DIF"
57646,"NM","LOUISVILLE, CO",239907,"01/28/11","10334","FIRSTIER BANK",764090,718797,"FAILURE","PO","DIF"
31293,"SA","DENVER, CO",169572,"01/21/11","10331","UNITED WESTERN BANK",2153690,1535194,"FAILURE","PA","DIF"
19758,"NM","MCDONOUGH, GA",45584,"01/21/11","10329","ENTERPRISE BANKING COMPANY",99461,94591,"FAILURE","PO","DIF"
34516,"NM","ASHEVILLE, NC",45059,"01/21/11","10330","THE BANK OF ASHEVILLE",204925,199394,"FAILURE","PA","DIF"
57868,"NM","EASLEY, SC",45189,"01/21/11","10328","COMMUNITYSOUTH BANK AND TRUST",340986,314250,"FAILURE","PA","DIF"
57440,"NM","BRUNSWICK, GA",84066,"01/14/11","10327","OGLETHORPE BANK",211149,201369,"FAILURE","PA","DIF"
57820,"NM","SCOTTSDALE, AZ",32224,"01/07/11","10326","LEGACY BANK",136446,119685,"FAILURE","PA","DIF"
34965,"SM","ORLANDO, FL",88904,"01/07/11","10325","FIRST COMMERCIAL BANK OF FLORIDA",578638,537223,"FAILURE","PA","DIF"
35065,"N","ATLANTA, GA",96415,"12/17/10","10323","UNITED AMERICAS BANK",242339,244172,"FAILURE","PA","DIF"
34578,"NM","DAWSONVILLE, GA",83075,"12/17/10","10320","CHESTATEE STATE BANK",244376,244476,"FAILURE","PA","DIF"
19040,"N","CORAL GABLES, FL",30186,"12/17/10","10324","THE BANK OF MIAMI",448150,374218,"FAILURE","PA","DIF"
23306,"N","LINO LAKES, MN",5827,"12/17/10","10321","COMMUNITY NATIONAL BANK",31569,28916,"FAILURE","PA","DIF"
58052,"NM","BATESVILLE, AR",25382,"12/17/10","10322","FIRST SOUTHERN BANK",191764,172514,"FAILURE","PA","DIF"
58495,"SA","MCCAYSVILLE, GA",29116,"12/17/10","10319","APPALACIAN COMMUNITY BANK, F.S.B.",68201,76360,"FAILURE","PA","DIF"
35561,"NM","SOUTHAMPTON, PA",24057,"12/10/10","10317","EARTHSTAR BANK",112643,104505,"FAILURE","PA","DIF"
34673,"SM","FARMINGTON HILLS, MI",68586,"12/10/10","10318","PARAMOUNT BANK",252744,213550,"FAILURE","PA","DIF"
5287,"SM","BURLINGTON, WI",88163,"11/19/10","10315","FIRST BANKING CENTER",750724,664752,"FAILURE","PA","DIF"
20340,"NM","CARRABELLE, FL",44443,"11/19/10","10316","GULF STATE COMMUNITY BANK",112144,112193,"FAILURE","PA","DIF"
35078,"NM","BALA CYNWYD, PA",12652,"11/19/10","10314","ALLEGIANCE BANK OF NORTH AMERICA",106595,91996,"FAILURE","PA","DIF"
35463,"NM","SCOTTSDALE, AZ",54031,"11/12/10","10311","COPPER STAR BANK",203955,190182,"FAILURE","PA","DIF"
57831,"NM","TIFTON, GA",22500,"11/12/10","10313","TIFTON BANKING COMPANY",143729,141573,"FAILURE","PA","DIF"
14580,"NM","VIDALIA, GA",134592,"11/12/10","10312","DARBY BANK & TRUST COMPANY",654714,587626,"FAILURE","PA","DIF"
57885,"NM","WESTMINSTER, CA",14453,"11/05/10","10307","FIRST VIETNAMESE AMERICAN BANK",48000,47012,"FAILURE","PA","DIF"
58087,"NM","WOODLAND HILLS, CA",16943,"11/05/10","10310","WESTERN COMMERCIAL BANK",98635,101127,"FAILURE","PA","DIF"
31263,"NM","RANDALLSTOWN, MD",142372,"11/05/10","10308","K BANK",538258,500056,"FAILURE","PA","DIF"
34411,"SM","TACOMA, WA",26754,"11/05/10","10309","PIERCE COMMERCIAL BANK",221082,193473,"FAILURE","PA","DIF"
2119,"N","BARNESVILLE, GA",46897,"10/22/10","10304","THE FIRST NATIONAL BANK OF BARNESVILLE",126622,122880,"FAILURE","PA","DIF"
16089,"N","MAYWOOD, IL",44306,"10/22/10","10301","FIRST SUBURBAN NATIONAL BANK",143451,135475,"FAILURE","PA","DIF"
22173,"NM","OVERLAND PARK, KS",276004,"10/22/10","10302","HILLCREST BANK",1583611,1488785,"FAILURE","PA","DIF"
33904,"NM","GORDON, GA",11317,"10/22/10","10305","THE GORDON BANK",29259,26867,"FAILURE","PA","DIF"
27573,"NM","JACKSONVILLE, FL",15204,"10/22/10","10300","FIRST BANK OF JACKSONVILLE",73922,72198,"FAILURE","PA","DIF"
32582,"SA","SCOTTSDALE, AZ",32860,"10/22/10","10306","FIRST ARIZONA SAVINGS, A FSB",255920,190615,"FAILURE","PO","DIF"
32251,"SM","TAMPA, FL",34562,"10/22/10","10303","PROGRESS BANK OF FLORIDA",94823,86861,"FAILURE","PA","DIF"
58205,"NM","CHESTERFIELD, MO",22436,"10/15/10","10299","WESTBRIDGE BANK AND TRUST COMPANY",87782,70131,"FAILURE","PA","DIF"
30898,"SA","OLATHE, KS",55873,"10/15/10","10298","SECURITY SAVINGS BANK, F.S.B.",453349,347080,"FAILURE","PA","DIF"
34016,"NM","JEFFERSON CITY, MO",313065,"10/15/10","10297","PREMIER BANK",989382,869367,"FAILURE","PA","DIF"
35250,"NM","SHORELINE, WA",24233,"10/01/10","10295","SHORELINE BANK",92980,90644,"FAILURE","PA","DIF"
21777,"NM","CRAWFORDVILLE, FL",122015,"10/01/10","10296","WAKULLA BANK",402205,367228,"FAILURE","PA","DIF"
35053,"NM","ARLINGTON, WA",70800,"09/24/10","10294","NORTH COUNTY BANK",288776,276081,"FAILURE","PA","DIF"
58308,"NM","PONTE VEDRA BEACH, FL",34827,"09/24/10","10293","HAVEN TRUST BANK FLORIDA",148575,133561,"FAILURE","PA","DIF"
57448,"NM","DOUGLASVILLE, GA",101039,"09/17/10","10289","FIRST COMMERCE COMMUNITY BANK",248151,242831,"FAILURE","PA","DIF"
182,"NM","WINDER, GA",101852,"09/17/10","10292","THE PEOPLES BANK",447185,398181,"FAILURE","PA","DIF"
28612,"SB","WEST ALLIS, WI",90122,"09/17/10","10291","MARITIME SAVINGS BANK",350488,248134,"FAILURE","PA","DIF"
27808,"SB","MILFORD, OH",17928,"09/17/10","10288","BRAMBLE SAVINGS BANK",47523,41551,"FAILURE","PA","DIF"
58197,"NM","ELLIJAY, GA",79709,"09/17/10","10287","THE BANK OF ELLIJAY",168820,160718,"FAILURE","PA","DIF"
57107,"NM","CHERRY HILL, NJ",18856,"09/17/10","10290","ISN BANK",81564,79652,"FAILURE","PA","DIF"
35061,"SM","BRADENTON, FL",61319,"09/10/10","10286","HORIZON BANK",187819,164594,"FAILURE","PA","DIF"
15640,"NM","CHICAGO, IL",526345,"08/20/10","10284","SHOREBANK",2166431,1547403,"FAILURE","PA","DIF"
27344,"N","OCALA, FL",11982,"08/20/10","10281","INDEPENDENT NATIONAL BANK",156218,141877,"FAILURE","PA","DIF"
25266,"N","BARTOW, FL",9170,"08/20/10","10279","COMMUNITY NATIONAL BANK AT BARTOW",67918,63708,"FAILURE","PA","DIF"
27259,"NM","SONOMA, CA",10543,"08/20/10","10285","SONOMA VALLEY BANK",337113,255501,"FAILURE","PA","DIF"
31623,"SB","MARTINSVILLE, VA",4782,"08/20/10","10280","IMPERIAL SAVINGS AND LOAN ASSOCIATION",9448,10090,"FAILURE","PA","DIF"
33219,"NM","CHICO, CA",9481,"08/20/10","10278","BUTTE COMMUNITY BANK",498751,471256,"FAILURE","PA","DIF"
27090,"SM","STOCKTON, CA",35729,"08/20/10","10283","PACIFIC STATE BANK",312077,278832,"FAILURE","PA","DIF"
32165,"SB","SOLVANG, CA",31506,"08/20/10","10282","LOS PADRES BANK",866459,770899,"FAILURE","PA","DIF"
17599,"NM","PALOS HEIGHTS, IL",69355,"08/13/10","10277","PALOS BANK AND TRUST COMPANY",493391,467784,"FAILURE","PA","DIF"
34231,"NM","CHICAGO, IL",69778,"08/06/10","10276","RAVENSWOOD BANK",264628,269448,"FAILURE","PA","DIF"
57658,"NM","ACWORTH, GA",33627,"07/30/10","10274","NORTHWEST BANK & TRUST",160763,155531,"FAILURE","PA","DIF"
22643,"NM","LONGVIEW, WA",36401,"07/30/10","10275","THE COWLITZ BANK",489019,474742,"FAILURE","PA","DIF"
31964,"NM","EUGENE, OR",58283,"07/30/10","10273","LIBERTYBANK",714574,692670,"FAILURE","PA","DIF"
9619,"NM","PANAMA CITY BEACH, FL",116866,"07/30/10","10272","COASTAL COMMUNITY BANK",377469,370016,"FAILURE","PA","DIF"
57669,"SB","PORT SAINT JOE, FL",12479,"07/30/10","10271","BAYSIDE SAVINGS BANK",64344,52720,"FAILURE","PA","DIF"
27559,"NM","JASPER, GA",306252,"07/23/10","10265","CRESCENT BANK AND TRUST COMPANY",970235,932809,"FAILURE","PA","DIF"
35434,"NM","LAS VEGAS, NV",87595,"07/23/10","10267","SOUTHWESTUSA BANK",203690,183985,"FAILURE","PA","DIF"
10506,"SM","SYLVAN GROVE, KS",6651,"07/23/10","10269","THUNDER BANK",28248,27048,"FAILURE","PA","DIF"
17837,"N","KINGSTREE, SC",2425,"07/23/10","10270","WILLIAMSBURG FIRST NATIONAL BANK",130411,126993,"FAILURE","PA","DIF"
32536,"SM","LANTANA, FL",41817,"07/23/10","10268","STERLING BANK",354966,329541,"FAILURE","PA","DIF"
34486,"NM","NEW PRAGUE, MN",18495,"07/23/10","10264","COMMUNITY SECURITY BANK",100649,95100,"FAILURE","PA","DIF"
23181,"SM","CAVE JUNCTION, OR",29877,"07/23/10","10266","HOME VALLEY BANK",250488,227935,"FAILURE","PA","DIF"
28864,"SB","CLEWISTON, FL",25533,"07/16/10","10260","OLDE CYPRESS COMMUNITY BANK",161355,157997,"FAILURE","PA","DIF"
25172,"SM","MIAMI, FL",64179,"07/16/10","10259","METRO BANK OF DADE COUNTY",399441,375522,"FAILURE","PA","DIF"
35383,"N","SPARTANBURG, SC",69136,"07/16/10","10263","FIRST NATIONAL BANK OF THE SOUTH",619374,550891,"FAILURE","PA","DIF"
28136,"SB","HASTINGS, MI",12790,"07/16/10","10258","MAINSTREET SAVINGS BANK, FSB",96584,63291,"FAILURE","PA","DIF"
32280,"SB","AVENTURA, FL",28658,"07/16/10","10261","TURNBERRY BANK",240250,179169,"FAILURE","PA","DIF"
32571,"SB","BLUFFTON, SC",107349,"07/16/10","10262","WOODLANDS BANK",382803,364808,"FAILURE","PA","DIF"
11636,"N","BLACKWELL, OK",65822,"07/09/10","10256","HOME NATIONAL BANK",585445,514038,"FAILURE","PA","DIF"
35462,"N","BALTIMORE, MD",21144,"07/09/10","10255","BAY NATIONAL BANK",217743,212612,"FAILURE","PA","DIF"
32456,"SB","BALTIMORE, MD",4092,"07/09/10","10257","IDEAL FEDERAL SAVINGS BANK",6177,5803,"FAILURE","PO","DIF"
58072,"NM","PORT CHESTER, NY",64386,"07/09/10","10254","USA BANK",190678,188644,"FAILURE","PA","DIF"
35279,"NM","ALBUQUERQUE, NM",28424,"06/25/10","10252","HIGH DESERT STATE BANK",80343,80985,"FAILURE","PA","DIF"
26563,"NM","ENGLEWOOD, FL",184175,"06/25/10","10253","PENINSULA BANK",630179,580140,"FAILURE","PA","DIF"
34152,"N","SAVANNAH, GA",80859,"06/25/10","10251","FIRST NATIONAL BANK",252520,231857,"FAILURE","PA","DIF"
57110,"NM","RENO, NV",70874,"06/18/10","10250","NEVADA SECURITY BANK",492491,479759,"FAILURE","PA","DIF"
32955,"NM","SEATTLE, WA",95166,"06/11/10","10249","WASHINGTON FIRST INTERNATIONAL BANK",520887,441362,"FAILURE","PA","DIF"
31813,"SB","ARCOLA, IL",12476,"06/04/10","10246","ARCOLA HOMESTEAD SAVINGS BANK",17028,18092,"FAILURE","PO","DIF"
15814,"N","ROSEDALE, MS",18095,"06/04/10","10247","FIRST NATIONAL BANK",60449,63483,"FAILURE","PA","DIF"
29341,"SB","LINCOLN, NE",3541,"06/04/10","10248","TIERONE BANK",2824737,2185817,"FAILURE","PA","DIF"
35106,"NM","NAPLES, FL",87638,"05/28/10","10242","BANK OF FLORIDA - SOUTHWEST",640894,559897,"FAILURE","PA","DIF"
57360,"NM","FORT LAUDERDALE, FL",60470,"05/28/10","10241","BANK OF FLORIDA - SOUTHEAST",595318,531752,"FAILURE","PA","DIF"
57814,"NM","TAMPA BAY, FL",30582,"05/28/10","10243","BANK OF FLORIDA - TAMPA BAY",240513,224024,"FAILURE","PA","DIF"
34785,"NM","LAS VEGAS, NV",119368,"05/28/10","10245","SUN WEST BANK",360662,353943,"FAILURE","PA","DIF"
57315,"N","GRANITE BAY, CA",13175,"05/28/10","10244","GRANITE COMMUNITY BANK, NATIONAL ASSOCIATION",102913,94252,"FAILURE","PA","DIF"
57735,"NM","ST. PAUL, MN",8410,"05/21/10","10240","PINEHURST BANK",61215,58288,"FAILURE","PA","DIF"
18117,"SM","ELMWOOD PARK, IL",0,"05/14/10","10236","MIDWEST BANK AND TRUST COMPANY",3172915,2420738,"FAILURE","PA","DIF"
35114,"NM","SAINT MARYS, GA",37552,"05/14/10","10238","SATILLA COMMUNITY BANK",135688,134005,"FAILURE","PA","DIF"
34255,"NM","SPRINGFIELD, MO",25580,"05/14/10","10239","SOUTHWEST COMMUNITY BANK",100659,102463,"FAILURE","PA","DIF"
35586,"NM","PLYMOUTH, MI",24493,"05/14/10","10237","NEW LIBERTY BANK",111239,101884,"FAILURE","PA","DIF"
14246,"NM","BONIFAY, FL",66497,"05/07/10","10234","THE BANK OF BONIFAY",242871,230190,"FAILURE","PA","DIF"
16476,"NM","CHAMPLIN, MN",7916,"05/07/10","10233","ACCESS BANK",31996,31969,"FAILURE","PA","DIF"
35517,"SM","SAN DIEGO, CA",10626,"05/07/10","10232","1ST PACIFIC BANK OF CALIFORNIA",335798,291173,"FAILURE","PA","DIF"
57697,"NM","MESA, AZ",44625,"05/07/10","10235","TOWNE BANK OF ARIZONA",120246,113243,"FAILURE","PA","DIF"
22710,"NM","EVERETT, WA",487222,"04/30/10","10228","FRONTIER BANK",3250734,2846886,"FAILURE","PA","DIF"
58362,"NM","CREVE COEUR, MO",57091,"04/30/10","10227","CHAMPION BANK",195510,153763,"FAILURE","PA","DIF"
30005,"SB","PORT HURON, MI",387873,"04/30/10","10226","CF BANCORP",1599122,1418445,"FAILURE","PA","DIF"
17792,"N","BUTLER, MO",9100,"04/30/10","10225","BC NATIONAL BANKS",52204,43635,"FAILURE","PA","DIF"
34821,"NM","CHICAGO, IL",133071,"04/23/10","10222","NEW CENTURY BANK",447239,492046,"FAILURE","PA","DIF"
10888,"NM","PEOTONE, IL",46917,"04/23/10","10223","PEOTONE BANK AND TRUST COMPANY",130165,124676,"FAILURE","PA","DIF"
30600,"SB","CHICAGO, IL",39765,"04/23/10","10221","LINCOLN PARK SAVINGS BANK",194618,162627,"FAILURE","PA","DIF"
34658,"NM","CHICAGO, IL",42913,"04/23/10","10220","CITIZENS BANK & TRUST COMPANY OF CHICAGO",73490,74519,"FAILURE","PA","DIF"
58429,"NM","NAPERVILLE, IL",191585,"04/23/10","10224","WHEATLAND BANK",441694,438502,"FAILURE","PA","DIF"
3735,"N","ROCKFORD, IL",27420,"04/23/10","10218","AMCORE BANK, NATIONAL ASSOCIATION",3066240,3421194,"FAILURE","PA","DIF"
22853,"NM","CHICAGO, IL",389015,"04/23/10","10219","BROADWAY BANK",1059194,1113959,"FAILURE","PA","DIF"
28886,"SB","PALATKA, FL",14508,"04/16/10","10213","FIRST FEDERAL BANK OF NORTH FLORIDA",440122,324198,"FAILURE","PA","DIF"
57724,"NM","CLERMONT, FL",16611,"04/16/10","10210","AMERICANFIRST BANK",104034,81887,"FAILURE","PA","DIF"
21521,"NM","LYNNWOOD, WA",158400,"04/16/10","10212","CITY BANK",981913,1020494,"FAILURE","PA","DIF"
24067,"N","FORT PIERCE, FL",17819,"04/16/10","10216","RIVERSIDE NATIONAL BANK OF FLORIDA",3393818,2724623,"FAILURE","PA","DIF"
23876,"NM","OAKLAND, CA",23096,"04/16/10","10214","INNOVATIVE BANK",266816,225241,"FAILURE","PA","DIF"
26619,"SB","LOWELL, MA",20433,"04/16/10","10211","BUTLER BANK",245534,233222,"FAILURE","PA","DIF"
33493,"NM","SAN RAFAEL, CA",0,"04/16/10","10217","TAMALPAIS BANK",611504,487582,"FAILURE","PA","DIF"
34878,"NM","STERLING HEIGHTS, MI",21829,"04/16/10","10215","LAKESIDE COMMUNITY BANK",49173,52290,"FAILURE","PO","DIF"
34242,"N","MYRTLE BEACH, SC",164592,"04/09/10","10209","BEACH FIRST NATIONAL BANK",590024,516026,"FAILURE","PA","DIF"
57399,"NM","CARROLLTON, GA",164026,"03/26/10","10207","MCINTOSH COMMERCIAL BANK",363405,343339,"FAILURE","PA","DIF"
34684,"SB","KEY WEST, FL",16210,"03/26/10","10206","KEY WEST BANK",88031,67662,"FAILURE","PA","DIF"
57060,"NM","PHOENIX, AZ",111555,"03/26/10","10205","DESERT HILLS BANK",496552,426473,"FAILURE","PA","DIF"
34678,"N","CARTERSVILLE, GA",73589,"03/26/10","10208","UNITY NATIONAL BANK",300590,264286,"FAILURE","PA","DIF"
18806,"N","PARMA, OH",14960,"03/19/10","10201","AMERICAN NATIONAL BANK",70318,66752,"FAILURE","PA","DIF"
10054,"NM","HIAWASSEE, GA",108511,"03/19/10","10202","BANK OF HIAWASSEE",377779,339597,"FAILURE","PA","DIF"
58104,"NM","DULUTH, GA",38192,"03/19/10","10198","CENTURY SECURITY BANK",96535,93967,"FAILURE","PA","DIF"
24957,"NM","FORT DEPOSIT, AL",12958,"03/19/10","10204","FIRST LOWNDES BANK",137175,131117,"FAILURE","PA","DIF"
8221,"NM","AURORA, MN",7026,"03/19/10","10203","STATE BANK OF AURORA",28159,27801,"FAILURE","PA","DIF"
33535,"NM","DRAPER, UT",536071,"03/19/10","10200","ADVANTA BANK CORP.",1525931,1519471,"FAILURE","PO","DIF"
33989,"NM","ELLIJAY, GA",458033,"03/19/10","10199","APPALACHIAN COMMUNITY BANK",1010075,917575,"FAILURE","PA","DIF"
27096,"NM","NEW YORK, NY",78134,"03/12/10","10195","THE PARK AVENUE BANK",520146,494505,"FAILURE","PA","DIF"
29561,"NM","COVINGTON, LA",28370,"03/12/10","10196","STATEWIDE BANK",243215,207821,"FAILURE","PA","DIF"
58182,"SM","ORLANDO, FL",76501,"03/12/10","10197","OLD SOUTHERN BANK",336390,319746,"FAILURE","PA","DIF"
58071,"NM","NEW YORK, NY",19394,"03/11/10","10194","LIBERTYPOINTE BANK",216500,209477,"FAILURE","PA","DIF"
27126,"SM","BOCA RATON, FL",122793,"03/05/10","10192","SUN AMERICAN BANK",535724,443481,"FAILURE","PA","DIF"
34430,"NM","OGDEN, UT",72673,"03/05/10","10193","CENTENNIAL BANK",212839,205076,"FAILURE","PO","DIF"
9268,"SM","NORMAL, IL",18844,"03/05/10","10191","BANK OF ILLINOIS",211711,198487,"FAILURE","PA","DIF"
34976,"SB","GERMANTOWN, MD",18567,"03/05/10","10190","WATERFIELD BANK",155566,156188,"FAILURE","PO","DIF"
38129,"SB","TACOMA, WA",2845,"02/26/10","10189","RAINIER PACIFIC BANK",717806,446192,"FAILURE","PA","DIF"
58352,"NM","CARSON CITY, NV",14994,"02/26/10","10188","CARSON RIVER COMMUNITY BANK",51095,50024,"FAILURE","PA","DIF"
32423,"SB","LA JOLLA, CA",585719,"02/19/10","10185","LA JOLLA BANK, FSB",3646071,2799362,"FAILURE","PA","DIF"
3287,"N","LA COSTE, TX",5709,"02/19/10","10186","THE LA COSTE NATIONAL BANK",53936,49275,"FAILURE","PA","DIF"
29952,"SB","ORLAND PARK, IL",129425,"02/19/10","10184","GEORGE WASHINGTON SAVINGS BANK",413673,395310,"FAILURE","PA","DIF"
57586,"SM","MARCO ISLAND, FL",25614,"02/19/10","10187","MARCO COMMUNITY BANK",119578,117097,"FAILURE","PA","DIF"
15448,"NM","HANCOCK, MN",4521,"02/05/10","10183","1ST AMERICAN STATE BANK OF MINNESOTA",18155,16327,"FAILURE","PA","DIF"
5672,"NM","IMMOKALEE, FL",310653,"01/29/10","10181","FLORIDA COMMUNITY BANK",835701,776556,"FAILURE","PA","DIF"
16133,"N","HALLOCK, MN",1463,"01/29/10","10182","MARSHALL BANK, NATIONAL ASSOCIATION",58566,55662,"FAILURE","PA","DIF"
23011,"NM","LOS ANGELES, CA",244805,"01/29/10","10177","FIRST REGIONAL BANK",2082684,1664450,"FAILURE","PA","DIF"
5702,"NM","CORNELIA, GA",480125,"01/29/10","10180","COMMUNITY BANK & TRUST",1181717,1067957,"FAILURE","PA","DIF"
16480,"N","CARROLLTON, GA",203902,"01/29/10","10179","FIRST NATIONAL BANK OF GEORGIA",840633,780196,"FAILURE","PA","DIF"
16730,"NM","BAINBRIDGE ISLAND, WA",28360,"01/29/10","10178","AMERICAN MARINE BANK",329246,287443,"FAILURE","PA","DIF"
32498,"SB","SANTA FE, NM",128038,"01/22/10","10175","CHARTER BANK",1201922,859933,"FAILURE","PA","DIF"
57147,"NM","MIAMI, FL",84454,"01/22/10","10173","PREMIER AMERICAN BANK",299225,285554,"FAILURE","PA","DIF"
8265,"NM","LEETON, MO",7464,"01/22/10","10174","BANK OF LEETON",20128,20335,"FAILURE","PA","DIF"
20501,"NM","SEATTLE, WA",43886,"01/22/10","10172","EVERGREEN BANK",395980,340378,"FAILURE","PA","DIF"
22469,"NM","THE DALLES, OR",55064,"01/22/10","10176","COLUMBIA RIVER BANK",955112,908132,"FAILURE","PA","DIF"
1252,"SM","KAYSVILLE, UT",111579,"01/15/10","10171","BARNES BANKING COMPANY",709171,697109,"FAILURE","PO","DIF"
17522,"NM","ST. STEPHEN, MN",7707,"01/15/10","10169","ST. STEPHEN STATE BANK",22895,23912,"FAILURE","PA","DIF"
34705,"NM","ANTIOCH, IL",23894,"01/15/10","10170","TOWN COMMUNITY BANK AND TRUST",70758,68323,"FAILURE","PA","DIF"
22977,"NM","BELLINGHAM, WA",213192,"01/08/10","10168","HORIZON BANK",1188956,1049063,"FAILURE","PA","DIF"
